Total Users: 17
User: admin_super, Role: SUPERUSER, Booths: 0, LBs: 0
User: admin_mgr, Role: MANAGER, Booths: 0, LBs: 0
User: admin_op, Role: OPERATOR, Booths: 0, LBs: 0
User: admin_const, Role: CONSTITUENCY_ADMIN, Booths: 0, LBs: 0
User: admin_lb, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 0
User: admin_zone, Role: ZONE_COMMANDER, Booths: 0, LBs: 0
User: admin_booth, Role: BOOTH_AGENT, Booths: 0, LBs: 0
User: admin, Role: SUPERUSER, Booths: 0, LBs: 0
User: lb_head_north paravur, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 0
User: lb_head_north_paravur, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 1
User: lb_head_chendamangalam, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 1
User: lb_head_chittatukara, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 1
User: lb_head_ezhikkara, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 1
User: lb_head_kottuvally, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 1
User: lb_head_puthenvelikkara, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 1
User: lb_head_varappuzha, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 1
User: lb_head_vadakkekara, Role: LOCAL_BODY_HEAD, Booths: 0, LBs: 1
